antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
Organic Raspberries,Bag of Organic Bananas,0.04318,0.12094,0.01362,0.31542380731820285,2.6081015984637244,0.008397810799999999,1.2840937347767252,0.6444047510412995
Cucumber Kirby,Banana,0.03258,0.13652,0.01008,0.3093922651933702,2.2662779460399225,0.005632178400000001,1.2503190400000002,0.5775649223117748
Organic Hass Avocado,Bag of Organic Bananas,0.06444,0.12094,0.01992,0.3091247672253259,2.55601758909646,0.0121266264,1.272386037735849,0.6506973209010312
Organic Avocado,Banana,0.05204,0.13652,0.01602,0.3078401229823213,2.2549086066680433,0.0089154992,1.2475152470849529,0.5870743978567236
Strawberries,Banana,0.04226,0.13652,0.01192,0.28206341694273546,2.066095934242129,0.0061506648,1.202724614370468,0.538763515283393
Organic Raspberries,Organic Strawberries,0.04318,0.08424,0.01192,0.2760537285780454,3.276991079986294,0.0082825168,1.264955751759437,0.7261992991605724
Large Lemon,Banana,0.05052,0.13652,0.0135,0.2672209026128266,1.9573754952594975,0.006603009599999999,1.1783633063209076,0.5151365191707273
Organic Whole Milk,Bag of Organic Bananas,0.04664,0.12094,0.0118,0.2530017152658662,2.0919606024959996,0.0061593583999999995,1.1767898507462684,0.5475156556009575
Organic Strawberries,Bag of Organic Bananas,0.08424,0.12094,0.02078,0.24667616334283002,2.0396573783928393,0.0105920144,1.1669085156003782,0.5566104420817775
Organic Baby Spinach,Banana,0.0722,0.13652,0.01502,0.20803324099722992,1.5238297758367265,0.005163256,1.0902982861140258,0.37050950819615663
Organic Hass Avocado,Organic Strawberries,0.06444,0.08424,0.01318,0.20453134698944755,2.42795995951386,0.007751574400000002,1.1512207257120561,0.6286412344726336
Organic Baby Spinach,Bag of Organic Bananas,0.0722,0.12094,0.0146,0.20221606648199447,1.6720362699023852,0.005868132,1.1018772916666666,0.43320419197571514
Organic Strawberries,Banana,0.08424,0.13652,0.01556,0.18471035137701805,1.352991146916335,0.0040595552,1.0591082585905651,0.2848965490447425
Bag of Organic Bananas,Organic Strawberries,0.12094,0.08424,0.02078,0.17182073755581279,2.0396573783928393,0.0105920144,1.1057509424920127,0.5798484499815809
Bag of Organic Bananas,Organic Hass Avocado,0.12094,0.06444,0.01992,0.16470977344137588,2.5560175890964603,0.0121266264,1.1200418372599483,0.6925197205448647
Organic Baby Spinach,Organic Strawberries,0.0722,0.08424,0.01162,0.16094182825484765,1.9105155300907841,0.005537872,1.0914141961043249,0.5136678886889906
Organic Strawberries,Organic Hass Avocado,0.08424,0.06444,0.01318,0.15645773979107314,2.42795995951386,0.007751574400000002,1.1090849197860961,0.6422333289543298
Organic Strawberries,Organic Raspberries,0.08424,0.04318,0.01192,0.14150047483380818,3.276991079986294,0.0082825168,1.1145259513274337,0.7587599517589967
Organic Strawberries,Organic Baby Spinach,0.08424,0.0722,0.01162,0.13793922127255462,1.9105155300907841,0.005537872,1.0762582208757918,0.5204213627212866
Bag of Organic Bananas,Organic Baby Spinach,0.12094,0.0722,0.0146,0.1207210186869522,1.672036269902385,0.005868132,1.0551827346247884,0.4572234538200675
Banana,Organic Avocado,0.13652,0.05204,0.01602,0.11734544389100497,2.2549086066680433,0.0089154992,1.0739875452282157,0.6445117966742249
Banana,Organic Strawberries,0.13652,0.08424,0.01556,0.11397597421623204,1.352991146916335,0.0040595552,1.0335611375661375,0.302145809692423
Bag of Organic Bananas,Organic Raspberries,0.12094,0.04318,0.01362,0.11261782702166363,2.6081015984637244,0.008397810799999999,1.078250193812896,0.7014075875268312
Banana,Organic Baby Spinach,0.13652,0.0722,0.01502,0.11002050981541166,1.5238297758367265,0.005163256,1.0424959341563786,0.3981084931954349
