antecedent,consequent,antecedent_name,consequent_name,support,antecedent support,consequent support,confidence,lift
003332,019577,FRES SOAP 70GR STRAWBERY [RED],FRES SOAP 70GR GRAPE [VIOLET],0.00111633001242707,0.00176927775554479,0.0018114034163910946,0.630952380952381,348.3223975636767
019577,003332,FRES SOAP 70GR GRAPE [VIOLET],FRES SOAP 70GR STRAWBERY [RED],0.00111633001242707,0.0018114034163910946,0.00176927775554479,0.616279069767442,348.3223975636767
048799,019577,FRES SOAP 70GR ORANGE,FRES SOAP 70GR GRAPE [VIOLET],0.0010110158603113086,0.0016639636034290288,0.0018114034163910946,0.6075949367088608,335.4277303503091
019577,048799,FRES SOAP 70GR GRAPE [VIOLET],FRES SOAP 70GR ORANGE,0.0010110158603113086,0.0018114034163910946,0.0016639636034290288,0.5581395348837209,335.4277303503091
010346,010345,TIM TAM HANDY PACK VANILA 78GR,TIM TAM HANDY PACK COKLAT 78GR,0.0010110158603113086,0.0022537228552772922,0.002401162668239358,0.4485981308411215,186.82538121003444
010345,010346,TIM TAM HANDY PACK COKLAT 78GR,TIM TAM HANDY PACK VANILA 78GR,0.0010110158603113086,0.002401162668239358,0.0022537228552772922,0.42105263157894735,186.8253812100344
003271,003272,NUVO FAMILY 80GR KUNING,NUVO FAMILY 80GR HIJAU,0.00176927775554479,0.002948796259241317,0.0033279272068580576,0.6,180.29240506329114
003272,003271,NUVO FAMILY 80GR HIJAU,NUVO FAMILY 80GR KUNING,0.00176927775554479,0.0033279272068580576,0.002948796259241317,0.5316455696202531,180.2924050632911
003650,003652,HARMONY 70GR GRAPE,HARMONY 70GR MELON,0.0011584556732733744,0.0034753670198201234,0.002000968890199465,0.3333333333333333,166.5859649122807
003652,003650,HARMONY 70GR MELON,HARMONY 70GR GRAPE,0.0011584556732733744,0.002000968890199465,0.0034753670198201234,0.5789473684210525,166.58596491228067
000356,038207,CITRA SOAP 80GR NATURAL WHITE,CITRA SOAP 80GR SPOTLESS WHT,0.0014533352991975062,0.0029277334288181646,0.0030119847505107734,0.49640287769784175,164.80922674447856
038207,000356,CITRA SOAP 80GR SPOTLESS WHT,CITRA SOAP 80GR NATURAL WHITE,0.0014533352991975062,0.0030119847505107734,0.0029277334288181646,0.48251748251748255,164.80922674447856
003273,003270,NUVO FAMILY 80GR BIRU,NUVO FAMILY 80GR MERAH,0.0014112096383512016,0.002548602481201424,0.003370052867704362,0.5537190082644629,164.3057334710744
003270,003273,NUVO FAMILY 80GR MERAH,NUVO FAMILY 80GR BIRU,0.0014112096383512016,0.003370052867704362,0.002548602481201424,0.41875,164.30573347107438
003273,003272,NUVO FAMILY 80GR BIRU,NUVO FAMILY 80GR HIJAU,0.0013901468079280494,0.002548602481201424,0.0033279272068580576,0.5454545454545455,163.90218642117378
003272,003273,NUVO FAMILY 80GR HIJAU,NUVO FAMILY 80GR BIRU,0.0013901468079280494,0.0033279272068580576,0.002548602481201424,0.4177215189873418,163.90218642117375
003647,003650,HARMONY 70GR STRAWBERY,HARMONY 70GR GRAPE,0.0011795185036965268,0.002169471533584683,0.0034753670198201234,0.5436893203883496,156.44083553986468
003650,003647,HARMONY 70GR GRAPE,HARMONY 70GR STRAWBERY,0.0011795185036965268,0.0034753670198201234,0.002169471533584683,0.3393939393939394,156.44083553986468
036899,020776,BOOM POWDER 400GR JERUK NIPIS,BOOM POWDER 400GR,0.0010110158603113086,0.0025907281420477282,0.002611790972470881,0.3902439024390244,149.4162077104642
