NO_BKT,antecedent,consequent,current_basket_size,hour_of_day,day_of_week,is_weekend,rule_confidence,rule_lift,antecedent_rate,interest_lift,y
060102101,003332,019577,16.0,12.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040101024,003332,019577,6.0,9.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040101080,003332,019577,6.0,11.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040101222,003332,019577,9.0,19.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060101138,003332,019577,6.0,21.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050102103,003332,019577,13.0,13.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040102021,003332,019577,9.0,18.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050102231,003332,019577,12.0,19.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050102248,003332,019577,12.0,19.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050103035,003332,019577,4.0,11.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060103081,003332,019577,5.0,19.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050103200,003332,019577,10.0,21.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050106119,003332,019577,11.0,18.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040106247,003332,019577,8.0,21.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050107106,003332,019577,8.0,16.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040107064,003332,019577,12.0,17.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050108159,003332,019577,6.0,19.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040109124,003332,019577,5.0,17.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050109060,003332,019577,11.0,19.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050111046,003332,019577,23.0,12.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060112009,003332,019577,7.0,10.0,3.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050113032,003332,019577,7.0,11.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060114043,003332,019577,13.0,10.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040114103,003332,019577,6.0,20.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050115233,003332,019577,7.0,21.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050118022,003332,019577,11.0,10.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040120014,003332,019577,7.0,13.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050122081,003332,019577,9.0,12.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050122083,003332,019577,5.0,12.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050122135,003332,019577,18.0,16.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040122090,003332,019577,12.0,17.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050122173,003332,019577,9.0,19.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050123106,003332,019577,9.0,20.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050123121,003332,019577,10.0,21.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040125074,003332,019577,15.0,16.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050125126,003332,019577,18.0,18.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060126001,003332,019577,21.0,13.0,3.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050127029,003332,019577,8.0,12.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050127092,003332,019577,11.0,18.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040127162,003332,019577,8.0,21.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050128072,003332,019577,6.0,13.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050128088,003332,019577,10.0,14.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040128097,003332,019577,4.0,18.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050130122,003332,019577,15.0,16.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060131032,003332,019577,10.0,14.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040131040,003332,019577,6.0,10.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040131237,003332,019577,9.0,20.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060202023,003332,019577,12.0,9.0,3.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040203086,003332,019577,6.0,13.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060203085,003332,019577,12.0,14.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050204167,003332,019577,17.0,17.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050204170,003332,019577,8.0,17.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040204183,003332,019577,10.0,17.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050205125,003332,019577,6.0,14.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040205055,003332,019577,6.0,16.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040206155,003332,019577,14.0,20.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060206089,003332,019577,11.0,20.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040207002,003332,019577,13.0,13.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040207028,003332,019577,7.0,16.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050207148,003332,019577,9.0,19.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040208103,003332,019577,13.0,15.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060208082,003332,019577,9.0,19.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060209076,003332,019577,15.0,15.0,3.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050209085,003332,019577,7.0,17.0,3.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050211027,003332,019577,5.0,11.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050211055,003332,019577,6.0,13.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040213074,003332,019577,4.0,18.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040214058,003332,019577,12.0,17.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040214059,003332,019577,7.0,17.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050215044,003332,019577,11.0,11.0,2.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040217107,003332,019577,11.0,21.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040218130,003332,019577,5.0,19.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050219041,003332,019577,8.0,9.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050219213,003332,019577,10.0,21.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050221071,003332,019577,4.0,11.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
060224054,003332,019577,18.0,17.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040224073,003332,019577,14.0,19.0,4.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,0
050225028,003332,019577,6.0,11.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060225088,003332,019577,14.0,19.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,0
040225101,003332,019577,5.0,19.0,5.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060226058,003332,019577,15.0,19.0,6.0,1.0,0.63095236,348.3224,0.0012304267,0.42858517,1
060227091,003332,019577,6.0,18.0,0.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
050228030,003332,019577,7.0,13.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040228130,003332,019577,16.0,20.0,1.0,0.0,0.63095236,348.3224,0.0012304267,0.42858517,1
040101024,019577,003332,6.0,9.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040101222,019577,003332,9.0,19.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050101108,019577,003332,16.0,19.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060101138,019577,003332,6.0,21.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050102103,019577,003332,13.0,13.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050102231,019577,003332,12.0,19.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050102248,019577,003332,12.0,19.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050103035,019577,003332,4.0,11.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050103134,019577,003332,3.0,18.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040103182,019577,003332,9.0,21.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050103200,019577,003332,10.0,21.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040105118,019577,003332,4.0,17.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050106085,019577,003332,6.0,16.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050106119,019577,003332,11.0,18.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050107106,019577,003332,8.0,16.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040107064,019577,003332,12.0,17.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040109124,019577,003332,5.0,17.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050109060,019577,003332,11.0,19.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050113032,019577,003332,7.0,11.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060114111,019577,003332,3.0,16.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040114083,019577,003332,6.0,19.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040114103,019577,003332,6.0,20.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040115121,019577,003332,2.0,17.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060115098,019577,003332,5.0,19.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050115233,019577,003332,7.0,21.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050118022,019577,003332,11.0,10.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050118179,019577,003332,3.0,19.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040120014,019577,003332,7.0,13.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040122090,019577,003332,12.0,17.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050123121,019577,003332,10.0,21.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050125126,019577,003332,18.0,18.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060126001,019577,003332,21.0,13.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050127029,019577,003332,8.0,12.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050127092,019577,003332,11.0,18.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050128088,019577,003332,10.0,14.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050128177,019577,003332,7.0,20.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060131032,019577,003332,10.0,14.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040131040,019577,003332,6.0,10.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060202023,019577,003332,12.0,9.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050202044,019577,003332,5.0,9.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040202139,019577,003332,11.0,19.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060202254,019577,003332,10.0,20.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040202164,019577,003332,7.0,20.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040203086,019577,003332,6.0,13.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060203085,019577,003332,12.0,14.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050203056,019577,003332,6.0,20.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050204167,019577,003332,17.0,17.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050204170,019577,003332,8.0,17.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040204183,019577,003332,10.0,17.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060204120,019577,003332,6.0,19.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040206155,019577,003332,14.0,20.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060206089,019577,003332,11.0,20.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040207002,019577,003332,13.0,13.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040208138,019577,003332,18.0,19.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060209076,019577,003332,15.0,15.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050209085,019577,003332,7.0,17.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040209063,019577,003332,6.0,19.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060209147,019577,003332,14.0,21.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050211006,019577,003332,12.0,9.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050213010,019577,003332,5.0,9.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040213074,019577,003332,4.0,18.0,0.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040214057,019577,003332,11.0,17.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040214058,019577,003332,12.0,17.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040214059,019577,003332,7.0,17.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050215044,019577,003332,11.0,11.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040215066,019577,003332,6.0,16.0,2.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040217107,019577,003332,11.0,21.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
060218007,019577,003332,8.0,8.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040218130,019577,003332,5.0,19.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050219041,019577,003332,8.0,9.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040219125,019577,003332,8.0,18.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,0
050219213,019577,003332,10.0,21.0,6.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050221209,019577,003332,11.0,20.0,1.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
040223069,019577,003332,3.0,13.0,3.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,0
060224054,019577,003332,18.0,17.0,4.0,0.0,0.61627907,348.3224,0.0012597225,0.43878955,1
050225028,019577,003332,6.0,11.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
040225101,019577,003332,5.0,19.0,5.0,1.0,0.61627907,348.3224,0.0012597225,0.43878955,1
